path,class,mock_density,filename_infix,runtime_imports,mockoon_imports,real_api_signals,playwright,suggested_name,reason
packages/app-core/src/onboarding/mobile-runtime-mode.test.ts,DELETE,4,,false,false,false,false,,mocks_no_io_density=4
packages/app-core/src/onboarding/probe-local-agent.test.ts,DELETE,6,,false,false,false,false,,mocks_no_io_density=6
packages/app-core/src/services/auth-store.real.test.ts,KEEP,0,real,false,false,false,false,auth-store.real.e2e.test.ts,infix:real
packages/app-core/src/services/local-inference/engine.e2e.test.ts,KEEP,0,e2e,false,false,false,false,,spawns_processes
packages/app-core/src/state/complete-reset-local-state-after-wipe.test.ts,DELETE,3,,false,false,false,false,,mocks_no_io_density=3
packages/app-core/src/state/persistence-cloud-active-server.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/app-core/src/state/startup-phase-runtime.test.ts,DELETE,14,,false,false,false,false,,mocks_no_io_density=14
packages/app-core/test/app/memory-relationships.real.e2e.test.ts,KEEP,0,real.e2e,false,false,false,true,,playwright
packages/app-core/test/app/onboarding-companion.live.e2e.test.ts,KEEP,0,live.e2e,false,false,false,false,onboarding-companion.e2e.test.ts,spawns_processes
packages/app-core/test/app/qa-checklist.real.e2e.test.ts,KEEP,0,real.e2e,false,false,true,true,,playwright
packages/app-core/test/benchmarks/action-selection.real.test.ts,KEEP,0,real,true,false,false,false,action-selection.real.e2e.test.ts,runtime_imports
packages/app-core/test/helpers/live-provider.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
packages/app-core/test/live-agent/action-invocation.live.e2e.test.ts,KEEP,0,live.e2e,true,true,false,false,action-invocation.e2e.test.ts,runtime_imports
packages/app-core/test/live-agent/agent-runtime.live.e2e.test.ts,KEEP,0,live.e2e,true,false,false,false,agent-runtime.e2e.test.ts,runtime_imports
packages/app-core/test/live-agent/api-auth-live.e2e.test.ts,KEEP,0,e2e,false,false,true,false,,infix:e2e
packages/app-core/test/live-agent/automations-compat-routes.test.ts,KEEP,9,,false,false,false,false,,http_server_setup
packages/app-core/test/live-agent/cloud-auth.live.e2e.test.ts,KEEP,0,live.e2e,false,false,false,false,cloud-auth.e2e.test.ts,spawns_processes
packages/app-core/test/live-agent/cloud-login-persist.real.e2e.test.ts,KEEP,0,real.e2e,false,false,true,false,,infix:real.e2e
packages/app-core/test/live-agent/cloud-providers.live.e2e.test.ts,KEEP,0,live.e2e,false,false,false,false,cloud-providers.e2e.test.ts,infix:live.e2e
packages/app-core/test/live-agent/connector-health.live.e2e.test.ts,KEEP,0,live.e2e,false,false,false,false,connector-health.e2e.test.ts,spawns_processes
packages/app-core/test/live-agent/database-conversation.live.e2e.test.ts,KEEP,0,live.e2e,false,false,false,false,database-conversation.e2e.test.ts,spawns_processes
packages/app-core/test/live-agent/experience-capture.real.e2e.test.ts,KEEP,0,real.e2e,false,false,false,false,,infix:real.e2e
packages/app-core/test/live-agent/experience-extraction.live.e2e.test.ts,KEEP,0,live.e2e,true,true,false,false,experience-extraction.e2e.test.ts,runtime_imports
packages/app-core/test/live-agent/farcaster-connector.live.e2e.test.ts,KEEP,0,live.e2e,false,false,true,false,farcaster-connector.e2e.test.ts,infix:live.e2e
